     119,    7236,   14002,     112,     567,     121,       5,       0,   50.05,     100
     119,    7236,   13927,     112,     567,     145,       4,       0,   50.05,     100
     119,    7233,   14183,     107,     567,     133,       4,       0,   50.00,     100
     120,    7238,   14132,     113,     567,     149,       3,       0,   50.00,     100
     119,    7238,   14121,     121,     568,     143,       3,       0,   50.00,     100
     119,    7236,   14182,     118,     567,     156,       4,       0,   50.05,     100
     120,    7237,   14058,     112,     568,     148,       4,       0,   50.00,     100
     120,    7236,   14040,     116,     567,     160,       4,       0,   50.00,     100
     119,    7233,   14007,     110,     567,     146,       3,       0,   50.05,     100
     120,    7237,   14181,     115,     568,     138,       4,       0,   50.00,     100
     120,    7238,   14172,     115,     567,     158,       4,       0,   49.92,     100
     120,    7239,   14192,     128,     568,     144,       4,       0,   50.05,     100
     120,    7239,   14199,     111,     567,     148,       3,       0,   50.00,     100
     119,    7232,   14132,     114,     568,     143,       3,       0,   50.00,     100
     119,    7232,   14170,     116,     568,     133,       4,       0,   50.00,     100
     119,    7240,   14133,     112,     568,     138,       3,       0,   50.00,     100
     119,    7237,   14072,     114,     567,     134,       4,       0,   50.00,     100
     120,    7239,   14021,     112,     568,     137,       4,       0,   49.96,     100
     119,    7234,   14199,     115,     567,     136,       3,       0,   50.00,     100
     120,    7238,   14030,     118,     568,     146,       3,       0,   50.00,     100
     119,    7232,   14141,     118,     568,     147,       4,       0,   50.00,     100
     119,    7236,   14054,     114,     567,     117,       3,       0,   50.00,     100
     119,    7235,   14105,     112,     568,     120,       3,       0,   50.00,     100
     120,    7238,   14079,     128,     567,     136,       4,       0,   50.00,     100
     120,    7237,   14079,     111,     566,     140,       3,       0,   50.00,     100
     120,    7235,   13988,     120,     566,     134,       4,       0,   50.00,     100
     119,    7235,   14019,     112,     568,     142,       5,       0,   50.00,     100
     119,    7236,   14015,     116,     567,     147,       3,       0,   50.05,     100
     120,    7238,   14117,     112,     568,     144,       4,       0,   50.00,     100
     118,    7230,   14137,     104,     568,     149,       3,       0,   50.00,     100
     119,    7234,   14235,     113,     568,     161,       3,       0,   50.00,     100
     119,    7235,   14044,     113,     567,     158,       3,       0,   50.09,     100
     119,    7237,   14101,     118,     566,     124,       3,       0,   50.00,     100
     119,    7234,   14018,     120,     567,     138,       4,       0,   50.00,     100
     119,    7238,   14113,     109,     567,     127,       4,       0,   50.00,     100
     120,    7239,   14012,     118,     567,     142,       3,       0,   50.00,     100
     120,    7232,   14074,     125,     567,     130,       4,       0,   50.00,     100
     119,    7231,   14227,     115,     568,     153,       4,       0,   50.00,     100
     120,    7236,   14107,     144,     568,     120,       3,       0,   50.05,     100
     120,    7232,   14262,     120,     567,     142,       3,       0,   50.09,     100
     119,    7238,   14090,     120,     567,     130,       3,       0,   50.00,     100
     119,    7237,   14069,     115,     567,     145,       2,       0,   50.00,     100
     119,    7236,   14084,     117,     567,     126,       3,       0,   49.96,     100
     119,    7242,   14141,     102,     567,     152,       3,       0,   50.00,     100
     120,    7238,   14083,     115,     567,     134,       3,       0,   50.00,     100
     119,    7232,   14093,     123,     567,     131,       3,       0,   49.88,     100
     119,    7237,   14047,     118,     567,     136,       5,       0,   50.00,     100
     119,    7235,   14221,     118,     568,     136,       3,       0,   50.05,     100
     120,    7236,   14031,     106,     567,     150,       3,       0,   50.00,     100
     118,    7232,   14065,     106,     568,     138,       3,       0,   50.00,     100
     119,    7234,   14090,     104,     567,     169,       2,       0,   50.00,     100
     119,    7237,   14091,     144,     567,     167,       4,       0,   49.96,     100
     120,    7236,   14198,     113,     567,     150,       4,       0,   50.00,     100
     120,    7237,   14202,     115,     568,     150,       4,       0,   50.00,     100
     119,    7238,   14034,     114,     567,     131,       4,       0,   50.00,     100
     119,    7237,   13989,     105,     566,     158,       4,       0,   50.00,     100
     119,    7234,   14077,     113,     567,     138,       3,       0,   50.00,     100
     120,    7240,   14045,     117,     568,     137,       3,       0,   50.00,     100
     120,    7231,   14192,     115,     567,     143,       4,       0,   50.00,     100
     119,    7236,   14050,     115,     567,     123,       2,       0,   50.00,     100
     120,    7235,   14154,     108,     567,     129,       4,       0,   50.00,     100
     119,    7239,   14059,     120,     567,     147,       4,       0,   50.00,     100
     120,    7235,   14040,     123,     567,     146,       4,       0,   50.00,     100
     119,    7237,   14094,     108,     568,     137,       4,       0,   50.05,     100
     119,    7236,   14180,     107,     567,     141,       3,       0,   49.88,     100
     119,    7237,   13959,     120,     567,     152,       3,       0,   50.00,     100
     120,    7237,   14015,     109,     566,     153,       4,       0,   50.00,     100
     119,    7232,   14162,     110,     567,      99,       4,       0,   50.00,     100
     119,    7236,   14137,     117,     567,     140,       4,       0,   50.00,     100
     120,    7234,   13999,     113,     566,     119,       3,       0,   50.00,     100
     119,    7233,   14119,     113,     568,     131,       3,       0,   50.00,     100
     119,    7235,   14200,     115,     567,     151,       2,       0,   50.00,     100
     119,    7237,   14102,     113,     568,     136,       4,       0,   50.00,     100
     121,    7237,   14164,     136,     567,     152,       4,       0,   50.00,     100
     119,    7237,   14119,     119,     567,     132,       4,       0,   50.00,     100
     119,    7235,   14051,     120,     566,     121,       4,       0,   50.00,     100
     120,    7240,   14089,     128,     568,     157,       3,       0,   50.00,     100
     121,    7237,   14166,     115,     567,     150,       4,       0,   50.00,     100
     120,    7238,   14077,     114,     568,     137,       2,       0,   50.00,     100
     118,    7236,   14079,     110,     568,     128,       3,       0,   50.00,     100
     119,    7240,   13992,     115,     568,     138,       4,       0,   50.00,     100
     120,    7236,   14143,     136,     567,     159,       2,       0,   50.05,     100
     119,    7236,   14029,     120,     567,     141,       4,       0,   50.00,     100
     119,    7239,   14126,     106,     568,     153,       4,       0,   50.00,     100
     119,    7233,   14135,     116,     568,     134,       3,       0,   50.00,     100
     120,    7238,   14093,     112,     567,     135,       4,       0,   50.00,     100
     119,    7237,   14006,     118,     568,     131,       3,       0,   50.00,     100
     119,    7234,   14028,     184,     567,     162,       2,       0,   50.00,     100
     120,    7238,   14029,     128,     567,     127,       3,       0,   50.00,     100
     120,    7238,   14058,     109,     568,     127,       3,       0,   50.00,     100
     120,    7243,   14103,     105,     568,     123,       3,       0,   50.00,     100
     120,    7237,   14059,     111,     567,     163,       3,       0,   50.00,     100
     120,    7235,   14028,     108,     567,     142,       4,       0,   49.96,     100
     119,    7237,   14089,     104,     567,     115,       4,       0,   50.00,     100
     119,    7244,   14172,     108,     568,     126,       3,       0,   50.00,     100
     120,    7236,   13988,     105,     568,     150,       3,       0,   50.00,     100
     120,    7237,   14089,     109,     568,     151,       4,       0,   50.00,     100
     120,    7237,   14033,     119,     568,     131,       3,       0,   50.00,     100
     119,    7237,   14086,     113,     567,     173,       3,       0,   50.00,     100
     120,    7238,   14193,     120,     568,     145,       4,       0,   50.00,     100
     120,    7234,   14020,     113,     568,     126,       4,       0,   49.96,     100
     119,    7237,   14166,     104,     566,     128,       2,       0,   49.96,     100
     120,    7235,   13970,     144,     567,     172,       3,       0,   50.00,     100
     120,    7241,   14205,     111,     568,     144,       2,       0,   50.00,     100
     119,    7232,   14072,     108,     568,     136,       3,       0,   49.96,     100
     119,    7237,   14073,     112,     568,     138,       3,       0,   49.96,     100
     120,    7238,   14040,     152,     567,     135,       2,       0,   49.96,     100
     120,    7233,   14155,     117,     567,     150,       3,       0,   49.96,     100
     120,    7239,   14159,     111,     566,     141,       3,       0,   50.00,     100
     119,    7235,   14045,     108,     568,     119,       3,       0,   50.00,     100
     120,    7239,   14058,     119,     569,     140,       4,       0,   50.00,     100
     120,    7236,   14032,     114,     567,     135,       2,       0,   50.05,     100
     119,    7237,   13975,     144,     568,     148,       5,       0,   49.96,     100
     120,    7235,   14043,     108,     566,     138,       5,       0,   50.00,     100
     119,    7241,   14134,     120,     567,     158,       3,       0,   50.00,     100
     120,    7239,   14165,     113,     568,     141,       5,       0,   50.00,     100
     119,    7238,   14180,     184,     568,     167,       3,       0,   50.00,     100
     119,    7234,   14297,     114,     567,     174,       4,       0,   50.00,     100
     119,    7235,   14088,     112,     568,     150,       3,       0,   50.13,     100
     119,    7240,   14190,     120,     567,     163,       4,       0,   50.00,     100
     119,    7236,   13958,     110,     567,     156,       3,       0,   50.05,     100
     120,    7235,   14278,     114,     567,     151,       4,       0,   50.00,     100
     119,    7236,   14193,     112,     568,     126,       4,       0,   50.00,     100
